Approved symbol	Approved name	RefSeq IDs	NCBI Gene ID(supplied by NCBI)
CDC42P2	CDC42 pseudogene 2		643336
C15orf62	chromosome 15 open reading frame 62	NM_001130448	643338
RPL5P4	ribosomal protein L5 pseudogene 4	NG_009571	643343
SAPCD2P3	suppressor APC domain containing 2 pseudogene 3	NG_009402	643353
LINC01750	long intergenic non-protein coding RNA 1750		643355
RPS27AP16	RPS27A pseudogene 16	NG_010157	643358
LINC00452	long intergenic non-protein coding RNA 452	NR_164112	643365
TUBB4BP8	TUBB4B pseudogene 8	NG_023207	643371
GUSBP18	GUSB pseudogene 18		643373
BTBD18	BTB domain containing 18	NM_001145101	643376
TMEM253	transmembrane protein 253	NM_001146683	643382
UNC93B4	unc-93 homolog B4 (pseudogene)	XR_016363	643384
TARDBPP3	TARDBP pseudogene 3		643387
SPINK9	serine peptidase inhibitor Kazal type 9	NM_001040433	643394
PURPL	p53 upregulated regulator of p53 levels	NR_038848	643401
BTF3P16	basic transcription factor 3 pseudogene 16		643412
LIPK	lipase family member K	NM_001080518	643414
LIPN	lipase family member N	NM_001102469	643418
TPT1P13	TPT1 pseudogene 13		643421
RBMS2P1	RNA binding motif single stranded interacting protein 2 pseudogene 1	NG_008697	643427
TRIM43CP	tripartite motif containing 43C, pseudogene		643445
RNPS1P1	RNA binding protein with serine rich domain 1 pseudogene 1		643446
KRT8P49	keratin 8 pseudogene 49		643447
DUSP5P2	dual specificity phosphatase 5 pseudogene 2		643459
SURF6P1	surfeit 6 pseudogene 1		643470
KRT18P12	keratin 18 pseudogene 12	NT_021877	643471
FAM25EP	family with sequence similarity 25 member E, pseudogene	NR_172103	643479
BRDTP1	bromodomain testis associated pseudogene 1	NR_003539	643486
RPL11P5	ribosomal protein L11 pseudogene 5	NG_009723	643499
TARDBPP1	TARDBP pseudogene 1		643503
RPL7P57	ribosomal protein L7 pseudogene 57	NG_010930	643507
KPNA2P1	karyopherin subunit alpha 2 pseudogene 1	NG_022064	643513
LINC00865	long intergenic non-protein coding RNA 865	NR_038382	643529
RPL29P26	ribosomal protein L29 pseudogene 26	NG_011051	643531
KCTD9P2	potassium channel tetramerization domain containing 9 pseudogene 2	NG_011074	643535
VDAC1P10	voltage dependent anion channel 1 pseudogene 10	NG_013293	643536
DSEL-AS1	DSEL antisense RNA 1	NR_033921	643542
RPL12P33	ribosomal protein L12 pseudogene 33	NG_011149	643550
EEF1A1P15	eukaryotic translation elongation factor 1 alpha 1 pseudogene 15		643563
AKR1B10P2	aldo-keto reductase family 1 member B10 pseudogene 2	NG_022495	643582
PKMP1	pyruvate kinase M1/2 pseudogene 1		643586
RNF224	ring finger protein 224	NM_001190228	643596
CTDSPL2P1	CTDSPL2 pseudogene 1	NG_022626	643605
NR1H5P	nuclear receptor subfamily 1 group H member 5, pseudogene	NG_007471.1	643609
UBTFL6	UBTF like 6 (pseudogene)	NG_027836	643615
RPSAP8	ribosomal protein SA pseudogene 8	NG_007295	643617
LINC02523	long intergenic non-protein coding RNA 2523	NR_038906	643623
RPS18P8	ribosomal protein S18 pseudogene 8	NG_011359	643627
RPL7AP76	ribosomal protein L7a pseudogene 76		643630
TPM4P2	TPM4 pseudogene 2	NG_030109	643634
GLYATL1P4	glycine-N-acyltransferase like 1 pseudogene 4		643637
ZNF862	zinc finger protein 862	NM_001099220	643641
HSD17B1P1	hydroxysteroid 17-beta dehydrogenase 1 pseudogene 1	NG_006749.2	643646
LINC01189	long intergenic non-protein coding RNA 1189		643648
LINC00842	long intergenic non-protein coding RNA 842	NR_033957	643650
RPL35P8	ribosomal protein L35 pseudogene 8	NG_010367	643653
SLC35G6	solute carrier family 35 member G6	NM_001102614	643664
PSMC1P9	proteasome 26S subunit, ATPase 1 pseudogene 9		643668
CCER2	coiled-coil glutamate rich protein 2	NM_001243212	643669
CCDC168	coiled-coil domain containing 168	NM_001146197	643677
MS4A4E	membrane spanning 4-domains A4E	NM_001351235	643680
HNRNPA3P3	heterogeneous nuclear ribonucleoprotein A3 pseudogene 3		643689
GOLGA8N	golgin A8 family member N	NM_001282494	643699
GOLGA6L4	golgin A6 family like 4	NM_001267536	643707
PAFAH1B2P2	PAFAH1B2 pseudogene 2	NR_077240	643711
CASC16	cancer susceptibility 16	NR_033920	643714
SCGB1B2P	secretoglobin family 1B member 2, pseudogene	NR_027620	643719
LYPLAL1-DT	LYPLAL1 divergent transcript	NR_038845	643723
CASP4LP	caspase 4 like, pseudogene	NR_034078	643733
GAPDHP31	glyceraldehyde 3 phosphate dehydrogenase pseudogene 31	NG_009353	643739
HMGN2P4	high mobility group nucleosomal binding domain 2 pseudogene 4	NG_006596	643744
TRAF3IP2-AS1	TRAF3IP2 antisense RNA 1	NR_034108	643749
CDC42P6	CDC42 pseudogene 6		643751
RAP1BL	RAP1B like (pseudogene)		643752
PSMC1P6	proteasome 26S subunit, ATPase 1 pseudogene 6		643766
LINC02453	long intergenic non-protein coding RNA 2453	NR_038383	643770
PNPLA10P	patatin like phospholipase domain containing 10 pseudogene	XM_927062	643773
RPLP0P5	ribosomal protein lateral stalk subunit P0 pseudogene 5	NG_011009	643779
USP46-DT	USP46 divergent transcript	NR_125363	643783
NAIPP3	NAIP pseudogene 3		643784
HMGN1P38	high mobility group nucleosome binding domain 1 pseudogene 38	NG_005986	643790
MPHOSPH10P1	MPHOSPH10 pseudogene 1		643802
KRTAP24-1	keratin associated protein 24-1	NM_001085455	643803
KRTAP27-1	keratin associated protein 27-1	NM_001077711	643812
CNTNAP3P2	CNTNAP3 pseudogene 2		643827
PDCL3P2	PDCL3 pseudogene 2		643831
PGA3	pepsinogen A3	NM_001079807	643834
ZFP62	ZFP62 zinc finger protein	NM_152283	643836
LINC01128	long intergenic non-protein coding RNA 1128		643837
PGA4	pepsinogen A4	NM_001079808	643847
RPL31P32	ribosomal protein L31 pseudogene 32	NG_011350	643851
TMPPE	transmembrane protein with metallophosphoesterase domain	NM_001039770	643853
CTAGE9	CTAGE family member 9	NM_001145659	643854
KRT18P30	keratin 18 pseudogene 30	NT_007299	643858
FEM1AP3	fem-1 homolog A pseudogene 3		643859
SPDYE10	speedy/RINGO cell cycle regulator family member E10		643862
RPL17P34	ribosomal protein L17 pseudogene 34	NG_010111	643863
KRT126P	keratin 126, pseudogene	XM_927136	643865
CBLN3	cerebellin 3 precursor	NM_001039771	643866
TPT1P6	TPT1 pseudogene 6		643870
HMGN2P6	high mobility group nucleosomal binding domain 2 pseudogene 6	NG_006597	643872
EIF4BP7	eukaryotic translation initiation factor 4B pseudogene 7	XR_039149	643873
CNN3P1	calponin 3 pseudogene 1		643875
FKBP4P8	FKBP prolyl isomerase 4 pseudogene 8	NG_021618	643880
SOCS5P5	suppressor of cytokine signaling 5 pseudogene 5		643884
CCDC121P1	CCDC121 pseudogene 1	NG_009150	643888
ARPP19P2	ARPP19 pseudogene 2	NG_012240	643896
ARL2BPP2	ADP ribosylation factor like GTPase 2 binding protein pseudogene 2		643898
RNF222	ring finger protein 222	NM_001146684.2	643904
PRR21	proline rich 21	NM_001080835	643905
RPL7P27	ribosomal protein L7 pseudogene 27	NG_010353	643906
SPDYE9	speedy/RINGO cell cycle regulator family member E9	NM_001382554	643909
CRNDE	colorectal neoplasia differentially expressed	NR_034105	643911
MORF4L2P1	mortality factor 4 like 2 pseudogene 1		643915
RAB1AP2	RAB1A pseudogene 2	NG_022314	643916
RPS3AP20	RPS3A pseudogene 20	NG_010482	643932
PHKG1P1	phosphorylase kinase catalytic subunit gamma 1 pseudogene 1		643941
RPLP2P3	ribosomal protein lateral stalk subunit P2 pseudogene 3	NG_010565	643949
RPSAP43	ribosomal protein SA pseudogene 43	NG_010589	643954
ZNF733P	zinc finger protein 733, pseudogene		643955
RPS2P18	ribosomal protein S2 pseudogene 18	NG_010622	643960
TMEM88B	transmembrane protein 88B	NM_001146685	643965
RPL7P29	ribosomal protein L7 pseudogene 29	NG_010680	643971
RPL6P13	ribosomal protein L6 pseudogene 13	NG_010698	643974
FOXN3P1	forkhead box N3 pseudogene 1		643976
RPS3AP36	RPS3A pseudogene 36	NG_010737	643981
HSFY4P	heat shock transcription factor Y-linked 4, pseudogene		643987
FNDC10	fibronectin type III domain containing 10	NM_001242659	643988
RPS2P26	ribosomal protein S2 pseudogene 26	NG_010802	643992
VDAC2P2	VDAC2 pseudogene 2		643996
PPIAP66	peptidylprolyl isomerase A pseudogene 66		643997
ARAFP2	ARAF pseudogene 2	NG_008381	644000
RPS6P3	ribosomal protein S6 pseudogene 3	NG_010900	644013
HSPD1P10	heat shock protein family D (Hsp60) member 1 pseudogene 10		644016
ZNF734P	zinc finger protein 734, pseudogene		644017
ZNG1F	Zn regulated GTPase metalloprotein activator 1F	NM_001085457	644019
RPL32P23	ribosomal protein L32 pseudogene 23	NG_010936	644020
CTSLP3	cathepsin L pseudogene 3	NG_016830	644021
RPL22P19	ribosomal protein L22 pseudogene 19	NG_010946	644022
RPL7AP62	ribosomal protein L7a pseudogene 62	NG_010977	644029
KRT18P58	keratin 18 pseudogene 58		644030
PHKG1P2	phosphorylase kinase catalytic subunit gamma 1 pseudogene 2		644032
NONOP1	non-POU domain containing, octamer-binding pseudogene 1		644035
HNRNPA1P12	heterogeneous nuclear ribonucleoprotein A1 pseudogene 12	NG_021856	644037
C18orf63	chromosome 18 open reading frame 63	NM_001174123	644041
SLC25A5P6	solute carrier family 25 member 5 pseudogene 6	NG_007588	644042
TEX14BP	testis expressed 14B, pseudogene	NR_104176	644050
FAM25C	family with sequence similarity 25 member C		644054
PYY3	peptide YY 3 (pseudogene)		644059
HNRNPKP4	heterogeneous nuclear ribonucleoprotein K pseudogene 4		644063
RPS14P3	ribosomal protein S14 pseudogene 3	NG_011176	644068
GSG1L2	GSG1 like 2		644070
GLYCAM1	glycosylation dependent cell adhesion molecule 1 (pseudogene)	NR_003039	644076
BCRP1	BCR pseudogene 1	NG_009423	644079
RPL18AP8	ribosomal protein L18a pseudogene 8	NG_011252	644082
PRKAG2-AS2	PRKAG2 antisense RNA 2	NR_171033	644090
MSH2-OT1	MSH2 overlapping transcript 1	NR_120602	644093
PSMC1P12	proteasome 26S subunit, ATPase 1 pseudogene 12		644094
SDHAF1	succinate dehydrogenase complex assembly factor 1	NM_001042631	644096
ARL14EPL	ADP ribosylation factor like GTPase 14 effector protein like	NM_001195581	644100
CBX3P9	CBX3 pseudogene 9		644101
RPL29P18	ribosomal protein L29 pseudogene 18	NG_010002	644103
RPSAP50	ribosomal protein SA pseudogene 50	NG_010040	644109
RPS14P9	ribosomal protein S14 pseudogene 9	NG_009572	644119
RPL23AP53	ribosomal protein L23a pseudogene 53	NR_003572	644128
HMGB1P15	high mobility group box 1 pseudogene 15	NG_030350	644129
CCT8P1	chaperonin containing TCP1 subunit 8 pseudogene 1	NG_016732	644131
PDE7B-AS1	PDE7B antisense RNA 1	NR_149042	644135
GOT2P3	GOT2 pseudogene 3		644138
PIRT	phosphoinositide interacting regulator of transient receptor potential channels	NM_001101387	644139
EXOC1L	exocyst complex component 1 like	NM_001351574	644145
RPS14P8	ribosomal protein S14 pseudogene 8	NG_010268	644146
WIPF3	WAS/WASL interacting protein family member 3		644150
DNM1P31	dynamin 1 pseudogene 31	NG_009133	644153
RPL10AP8	ribosomal protein L10a pseudogene 8	NG_010309	644154
DND1P1	DND microRNA-mediated repression inhibitor 1 pseudogene 1		644157
LRRC2P1	LRRC2 pseudogene 1	NG_021538	644158
SLC25A1P3	solute carrier family 25 member 1 pseudogene 3		644159
ACTG1P19	actin gamma 1 pseudogene 19		644160
BCRP3	BCR pseudogene 3		644165
RPS26P20	ribosomal protein S26 pseudogene 20	NG_010373	644166
DRGX	dorsal root ganglia homeobox	NM_001276451	644168
MAPK8IP1P2	mitogen-activated protein kinase 8 interacting protein 1 pseudogene 2		644172
SYCE3	synaptonemal complex central element protein 3	NM_001123225	644186
RPS26P8	ribosomal protein S26 pseudogene 8	NG_009394	644191
NR2F2-AS1	NR2F2 antisense RNA 1	XR_109225	644192
RPLP2P2	ribosomal protein lateral stalk subunit P2 pseudogene 2	NG_010527	644198
RPL12P27	ribosomal protein L12 pseudogene 27	NG_010551	644202
GAPDHP32	glyceraldehyde 3 phosphate dehydrogenase pseudogene 32	NG_011343	644213
PHB1P11	PHB1 pseudogene 11		644214
TRPC6P1	TRPC6 pseudogene 1	NG_005687	644218
ACTBP11	ACTB pseudogene 11		644220
RPL9P4	ribosomal protein L9 pseudogene 4	NG_009540	644223
AURKBP1	aurora kinase B pseudogene 1		644233
RPL7AP43	ribosomal protein L7a pseudogene 43	NG_010732	644236
GAPDHP33	glyceraldehyde 3 phosphate dehydrogenase pseudogene 33	NG_009336	644237
LINC00622	long intergenic non-protein coding RNA 622	NR_036540	644242
KANSL1-AS1	KANSL1 antisense RNA 1	NR_034172	644246
SNCA-AS1	SNCA antisense RNA 1		644248
MAPK8IP1P1	mitogen-activated protein kinase 8 interacting protein 1 pseudogene 1	NG_022469	644253
DND1P2	DND microRNA-mediated repression inhibitor 1 pseudogene 2	NG_022452	644256
SLC25A53P1	SLC25A53 pseudogene 1	NG_022686	644261
CAPZBP1	CAPZB pseudogene 1	NG_023294	644265
KIAA1143P1	KIAA1143 pseudogene 1		644295
FAM215B	family with sequence similarity 215 member B		644297
RPS20P19	ribosomal protein S20 pseudogene 19	NG_011101	644309
UQCR10P1	UQCR10 pseudogene 1	NG_027713	644310
MT1IP	metallothionein 1I, pseudogene		644314
RPS7P11	ribosomal protein S7 pseudogene 11	NG_011130	644315
ADAM20P3	ADAM metallopeptidase domain 20 pseudogene 3		644325
TPM3P5	tropomyosin 3 pseudogene 5	NG_005726	644330
ATP5PBP3	ATP synthase peripheral stalk-membrane subunit b pseudogene 3		644333
RPL37AP8	ribosomal protein L37a pseudogene 8	NG_011253	644338
ZCCHC18	zinc finger CCHC-type containing 18	NM_001143978	644353
EEF1DP6	eukaryotic translation elongation factor 1 delta pseudogene 6		644357
GCNT2P1	GCNT2 pseudogene 1		644378
RPL23AP71	ribosomal protein L23a pseudogene 71	NG_010173	644384
RPS2P47	ribosomal protein S2 pseudogene 47	NG_011344	644388
HNRNPLP2	heterogeneous nuclear ribonucleoprotein L pseudogene 2		644390
LRRC37A17P	leucine rich repeat containing 37 member A17, pseudogene		644397
LARP1BP3	LARP1B pseudogene 3	NG_022704	644403
DEFB131A	defensin beta 131A	NM_001040448	644414
SRSF6P2	SRSF6 pseudogene 2	NG_022444	644422
RARRES2P2	retinoic acid receptor responder 2 pseudogene 2		644425
HMGB3P15	high mobility group box 3 pseudogene 15	NG_022021	644429
AGGF1P2	angiogenic factor with G-patch and FHA domains 1 pseudogene 2	NG_005569	644435
TUBAP7	tubulin alpha pseudogene 7		644436
HMGB3P11	high mobility group box 3 pseudogene 11	NG_021574	644442
TMEM30CP	transmembrane protein 30C, pseudogene	NR_028357	644444
HNRNPFP1	heterogeneous nuclear ribonucleoprotein F pseudogene 1		644449
SHQ1P1	SHQ1, H/ACA ribonucleoprotein assembly factor pseudogene 1		644451
BEND3P1	BEN domain containing 3 pseudogene 1	NG_011921	644459
RPSAP61	ribosomal protein SA pseudogene 61	NG_010579	644464
NDUFA3P3	NADH:ubiquinone oxidoreductase subunit A3 pseudogene 3	NG_030212	644482
ICE2P1	interactor of little elongation complex ELL subunit 2 pseudogene 1		644491
HSP90AB7P	heat shock protein 90 alpha family class B member 7, pseudogene	NG_022139	644495
CTSLP4	cathepsin L pseudogene 4	NG_021158	644496
HMGN2P7	high mobility group nucleosomal binding domain 2 pseudogene 7	NG_006600	644498
RPL39P21	ribosomal protein L39 pseudogene 21	NG_010774	644499
HMGB3P18	high mobility group box 3 pseudogene 18	NG_022325	644502
RBM22P6	RNA binding motif protein 22 pseudogene 6		644509
RPL13AP6	ribosomal protein L13a pseudogene 6		644511
FAM86MP	family with sequence similarity 86 member M, pseudogene	NG_008782	644517
RPL31P44	ribosomal protein L31 pseudogene 44	NG_010889	644522
NKX2-4	NK2 homeobox 4		644524
HMGN1P11	high mobility group nucleosome binding domain 1 pseudogene 11		644534
SMIM10	small integral membrane protein 10	NM_001163438	644538
ELOCP3	elongin C pseudogene 3		644540
EXOC5P1	exocyst complex component 5 pseudogene 1		644548
GTF3C6P2	GTF3C6 pseudogene 2	NG_022688	644563
TPM4P1	TPM4 pseudogene 1	NG_022157	644566
SPCS2P2	signal peptidase complex subunit 2 pseudogene 2	NG_022158	644573
SNX18P9	sorting nexin 18 pseudogene 9		644576
LARP1BP1	LARP1B pseudogene 1	NG_028891	644578
DNAJA1P3	DnaJ heat shock protein family (Hsp40) member A1 pseudogene 3		644588
DNAJC19P9	DnaJ heat shock protein family (Hsp40) member C19 pseudogene 9	NG_030241	644589
PPIAL4G	peptidylprolyl isomerase A like 4G	NM_001123068	644591
SMIM10L2B	small integral membrane protein 10 like 2B		644596
GEMIN8P2	gem nuclear organelle associated protein 8 pseudogene 2	NG_022523	644600
BIN2P2	bridging integrator 2 pseudogene 2		644601
EEF1A1P12	eukaryotic translation elongation factor 1 alpha 1 pseudogene 12	NG_016738	644604
ILF2P2	interleukin enhancer binding factor 2 pseudogene 2		644616
INTS4P2	integrator complex subunit 4 pseudogene 2	NR_027392	644619
TPTE2P2	TPTE2 pseudogene 2		644623
FUNDC2P3	FUN14 domain containing 2 pseudogene 3	NG_022375	644625
RPL21P107	ribosomal protein L21 pseudogene 107	NG_009801	644627
BMS1P11	BMS1 pseudogene 11		644632
NF1P6	neurofibromin 1 pseudogene 6	NG_007890	644637
APOOP5	apolipoprotein O pseudogene 5		644649
HMGB1P25	high mobility group box 1 pseudogene 25	NG_021494	644651
HMGB1P22	high mobility group box 1 pseudogene 22		644659
RAD21-AS1	RAD21 antisense RNA 1	XR_040079	644660
CLDN25	claudin 25	NM_001101389	644672
SSX2IPP1	SSX2IP pseudogene 1	NG_013117	644681
BMS1P12	BMS1 pseudogene 12		644684
CDRT15P2	CDRT15 pseudogene 2	NR_033865	644694
LIMD1-AS1	LIMD1 antisense RNA 1	NR_033947	644714
BMS1P13	BMS1 pseudogene 13		644716
SAGE2P	sarcoma antigen 2, pseudogene		644717
IGKV1OR-3	immunoglobulin kappa variable 1/OR-3 (pseudogene)		644731
WASF4P	WASP family member 4, pseudogene	NG_007616	644739
KRT8P47	keratin 8 pseudogene 47		644743
HSPD1P4	heat shock protein family D (Hsp60) member 1 pseudogene 4		644745
BOLA3P3	bolA family member 3 pseudogene 3	NG_030074	644754
PABPC1P13	poly(A) binding protein cytoplasmic 1 pseudogene 13	NG_006145	644758
TMPRSS11GP	transmembrane serine protease 11G, pseudogene		644759
PIGHP1	phosphatidylinositol glycan anchor biosynthesis class H pseudogene 1	NG_022130	644761
MFFP2	MFF pseudogene 2	NR_110534	644762
SLC9B1P4	solute carrier family 9 member B1 pseudogene 4		644768
ACTR3BP6	ACTR3B pseudogene 6		644773
RAD52P1	RAD52 pseudogene 1	NG_021540	644776
MEP1AP2	meprin A subunit alpha pseudogene 2		644777
RPS15AP11	ribosomal protein S15a pseudogene 11	NG_010947	644790
LINC02604	long intergenic non-protein coding RNA 2604	NR_136637	644794
PAK6-AS1	PAK6 antisense RNA 1	NR_168270	644809
FAM83G	family with sequence similarity 83 member G		644815
EEF1B2P3	eukaryotic translation elongation factor 1 beta 2 pseudogene 3	NG_008008	644820
RPL36AP36	ribosomal protein L36a pseudogene 36	NG_011167	644834
LINC01829	long intergenic non-protein coding RNA 1829		644838
PHGR1	proline, histidine and glycine rich 1	NM_001145643	644844
PDCL3P5	PDCL3 pseudogene 5		644850
NBPF13P	NBPF member 13, pseudogene		644861
RPS28P3	ribosomal protein S28 pseudogene 3	NG_005978	644862
TRAF6P1	TNF receptor associated factor 6 pseudogene 1	NG_022147	644871
SLC12A2-DT	SLC12A2 divergent transcript	NR_015360	644873
CACYBPP2	calcyclin binding protein pseudogene 2	NG_021541	644877
RARRES2P4	retinoic acid receptor responder 2 pseudogene 4		644881
MEIG1	meiosis/spermiogenesis associated 1	NM_001080836	644890
RPL7P7	ribosomal protein L7 pseudogene 7	NG_005688	644896
TERF2IPP1	TERF2 interacting protein pseudogene 1	NG_017137	644899
GCC2-AS1	GCC2 antisense RNA 1		644903
MDH1P2	MDH1 pseudogene 2	NG_022346	644906
RPL32P18	ribosomal protein L32 pseudogene 18	NG_010235	644907
RPL10P5	ribosomal protein L10 pseudogene 5	NG_010252	644911
H3P16	H3 histone pseudogene 16	NG_022939	644914
METTL15P2	methyltransferase like 15 pseudogene 2	NG_021691	644915
LINC02315	long intergenic non-protein coding RNA 2315	NR_109757	644919
GOT2P6	GOT2 pseudogene 6	NG_022661	644924
RPS26P15	ribosomal protein S26 pseudogene 15	NG_010340	644928
RPS26P50	ribosomal protein S26 pseudogene 50	NG_010374	644934
ELF2P4	ELF2 pseudogene 4	NG_006556	644935
RPL10P8	ribosomal protein L10 pseudogene 8		644937
RASSF10	Ras association domain family member 10	NM_001080521	644943
KRT16P3	keratin 16 pseudogene 3	NR_029393	644945
ACTG1P20	actin gamma 1 pseudogene 20		644961
TNRC18P1	trinucleotide repeat containing 18 pseudogene 1	NR_077215	644962
RPS3AP26	RPS3A pseudogene 26	NG_006069	644972
ALG1L2	ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase like 2	NM_001136152	644974
ABHD17AP6	ABHD17A pseudogene 6		644988
THRB-AS1	THRB antisense RNA 1	NR_046244	644990
SMIM23	small integral membrane protein 23		644994
RPL32P22	ribosomal protein L32 pseudogene 22	NG_010687	644996
PIK3CD-AS1	PIK3CD antisense RNA 1	NR_027045	644997
KRT8P19	keratin 8 pseudogene 19	NG_009706	644998
RPS3P6	ribosomal protein S3 pseudogene 6	NG_010709	645000
HNRNPA1P52	heterogeneous nuclear ribonucleoprotein A1 pseudogene 52		645001
ALG1L8P	ALG1 like 8, pseudogene		645015
RPS2P20	ribosomal protein S2 pseudogene 20	NG_010814	645018
GAPDHP59	glyceraldehyde-3-phosphate dehydrogenase pseudogene 59		645024
EVPLL	envoplakin like	NM_001145127	645027
NFIA-AS1	NFIA antisense RNA 1	NR_104180	645030
GAGE2B	G antigen 2B	NM_001098411	645037
GAGE13	G antigen 13		645051
RPL6P4	ribosomal protein L6 pseudogene 4	NG_010981	645054
RPEP2	ribulose-5-phosphate-3-epimerase pseudogene 2		645065
GAGE12G	G antigen 12G		645073
COL25A1-DT	COL25A1 divergent transcript	NR_160939	645078
DBF4P1	DBF4 zinc finger pseudogene 1	NG_006968	645084
MYL12BP1	MYL12B pseudogene 1		645094
CLRN2	clarin 2	NM_001079827	645104
NACAP5	NACA pseudogene 5	NG_022007	645108
AIFM1P1	AIFM1 pseudogene 1	NG_021350	645120
CCNI2	cyclin I family member 2	NM_001039780	645121
PFN1P6	profilin 1 pseudogene 6	NG_005762	645126
ZBTB45P1	zinc finger and BTB domain containing 45 pseudogene 1		645129
MYCLP2	MYCL pseudogene 2		645136
PAIP1P2	PAIP1 pseudogene 2		645139
PPIAL4D	peptidylprolyl isomerase A like 4D	NM_001164261	645142
ZBED1P1	zinc finger BED-type containing 1 pseudogene 1		645145
RPL21P61	ribosomal protein L21 pseudogene 61	NG_009666	645157
CBX3P2	CBX3 pseudogene 2		645158
RPL5P30	ribosomal protein L5 pseudogene 30	NG_011357	645160
RPL12P8	ribosomal protein L12 pseudogene 8	NG_006101	645161
LSP1P5	LSP1 pseudogene 5		645166
RPS2P48	ribosomal protein S2 pseudogene 48	NG_010280	645173
RPL21P46	ribosomal protein L21 pseudogene 46	NG_009673	645174
MEMO1P2	MEMO1 pseudogene 2	XR_017268	645175
ATOSBP1	ATOSB pseudogene 1		645180
LINGO3	leucine rich repeat and Ig domain containing 3	NM_001101391	645191
HMGB1P26	high mobility group box 1 pseudogene 26	NG_022758	645201
GOLGA6L24	golgin A6 family like 24		645202
TMEM14DP	transmembrane protein 14D, pseudogene		645203
HNRNPMP1	heterogeneous nuclear ribonucleoprotein M pseudogene 1		645204
LINC00693	long intergenic non-protein coding RNA 693	NR_038840	645206
EIF4E2P2	eukaryotic translation initiation factor 4E family member 2 pseudogene 2		645207
EIF3J-DT	EIF3J divergent transcript	NR_034170	645212
ADIPOR1P1	adiponectin receptor 1 pseudogene 1	NG_022165	645220
RPL29P17	ribosomal protein L29 pseudogene 17	NG_011367	645224
TDGP1	thymine-DNA glycosylase pseudogene 1		645233
MNX1-AS1	MNX1 antisense RNA 1 (head to head)	NR_038835	645249
CBX1P1	chromobox 1 pseudogene 1		645251
GAPDHP66	glyceraldehyde-3-phosphate dehydrogenase pseudogene 66		645256
RPL7AP37	ribosomal protein L7a pseudogene 37	NG_010716	645257
OSTCP4	oligosaccharyltransferase complex subunit pseudogene 4		645264
TMEM256P1	transmembrane protein 256 pseudogene 1	NG_028106	645269
SMPD4P1	sphingomyelin phosphodiesterase 4 pseudogene 1	NG_028286	645280
HMGB1P6	high mobility group box 1 pseudogene 6	NG_006664	645292
RPL17P39	ribosomal protein L17 pseudogene 39	NG_010917	645296
MRGPRX12P	MAS related GPR family member X12, pseudogene		645297
RPS10P24	ribosomal protein S10 pseudogene 24	NG_009469	645299
EEF1GP7	eukaryotic translation elongation factor 1 gamma pseudogene 7		645311
GLTPP1	glycolipid transfer protein pseudogene 1	NG_007407	645312
SCDP1	stearoyl-CoA desaturase pseudogene 1		645313
DNAJC17P1	DNAJC17 pseudogene 1	NG_021279	645314
CHCHD2P6	coiled-coil-helix-coiled-coil-helix domain containing 2 pseudogene 6		645317
PHB2P1	PHB2 pseudogene 1	NG_022190	645318
MRGPRX13P	MAS related GPR family member X13, pseudogene		645319
LINC01896	long intergenic non-protein coding RNA 1896		645321
LINC00461	long intergenic non-protein coding RNA 461	NR_024384	645323
RPSAP11	ribosomal protein SA pseudogene 11	NG_006441	645326
MRPL40P1	mitochondrial ribosomal protein L40 pseudogene 1		645328
FAM86C2P	family with sequence similarity 86 member C2, pseudogene		645332
SNRPD2P2	small nuclear ribonucleoprotein D2 pseudogene 2	NR_033826	645339
CHCHD2P9	coiled-coil-helix-coiled-coil-helix domain containing 2 pseudogene 9	NG_009939	645345
TUBA3GP	tubulin alpha 3g pseudogene	NG_006439	645348
PRAMEF36P	PRAME family member 36, pseudogene		645354
MIR3976HG	MIR3976 host gene		645355
KIF19BP	kinesin family member 19B, pseudogene		645357
PRAMEF26	PRAME family member 26		645359
HMGB3P5	high mobility group box 3 pseudogene 5	NG_022191	645360
GGT8P	gamma-glutamyltransferase 8 pseudogene	NR_003503	645367
EIF3KP3	eukaryotic translation initiation factor 3 subunit K pseudogene 3		645368
TMEM200C	transmembrane protein 200C	NM_001080209	645369
RPL21P76	ribosomal protein L21 pseudogene 76	NG_005567	645373
TLE1P1	TLE family member 1 pseudogene 1	NG_022665	645381
PRAMEF33	PRAME family member 33		645382
RPL6P27	ribosomal protein L6 pseudogene 27	NG_009652	645387
AP1M2P1	AP1M2 pseudogene 1	NG_022666	645388
NIFKP2	nucleolar protein interacting with the FHA domain of MKI67 pseudogene 2	NG_009465	645398
USP17L4	ubiquitin specific peptidase 17 like family member 4	NM_001256874	645402
RPS16P9	ribosomal protein S16 pseudogene 9	NG_010193	645412
PRAMEF19	PRAME family member 19	NM_001099790	645414
MRGPRX11P	MAS related GPR family member X11, pseudogene		645415
RPL10P12	ribosomal protein L10 pseudogene 12		645422
SLC25A51P2	SLC25A51 pseudogene 2		645423
PRAMEF20	PRAME family member 20	NM_001099852	645425
TMEM191C	transmembrane protein 191C	NM_001207052	645426
FUT8-AS1	FUT8 antisense RNA 1	NR_024334	645431
ARRDC5	arrestin domain containing 5	NM_001080523	645432
LINC01625	long intergenic non-protein coding RNA 1625	NR_033919	645434
HNRNPA1P63	heterogeneous nuclear ribonucleoprotein A1 pseudogene 63		645436
